feature,importance_gain,importance_split
AMT_PAY_YEAR,8159.49014866973,440.6666666666667
NEW_EXT_SOURCES_MEAN,66783.1309604486,241.66666666666669
EXT_SOURCE_3,15372.36785043627,239.66666666666669
EXT_SOURCE_2,22958.589714542526,234.33333333333331
EXT_SOURCE_1,5669.1952644189205,230.8666666666667
DAYS_BIRTH,3067.9103614305454,227.2
prev_score_mean,43266.70659984922,196.33333333333331
buro_score_sum,23749.105735556783,186.4666666666667
buro_score_mean,23132.762845067056,176.33333333333334
AGE_EMPLOYED,2985.59468241781,174.33333333333337
DAYS_ID_PUBLISH,1459.9591537197432,165.86666666666665
AMT_DIFF_CREDIT_GOODS,5416.2106369130315,163.8
DAYS_EMPLOYED,3885.9984404982374,162.6
GENDER_FAMILY_STATUS_mean_encode,4726.454675002892,161.53333333333333
pos_score,3637.774949165682,155.2
buro_score_recent2y_sum,5487.394824603922,151.0
AMT_ANNUITY,3142.9165728453545,150.00000000000003
ORGANIZATION_TYPE_mean_encode,3699.7289052059255,148.0
AGE_PAYOFF,1692.8817942515016,144.66666666666669
prev_active_sum_AMT_LEFT,1856.8261879618863,143.6
NEW_EMPLOY_TO_BIRTH_RATIO,2125.653697639238,141.73333333333335
NEW_SOURCES_PROD,7604.755110056016,129.53333333333333
bureau_recent_AMT_CREDIT_SUM,1057.515665482109,126.6
DAYS_REGISTRATION,962.0560943266377,126.4
inst_score,4131.56497424071,125.8
prev_score_last,6638.780069906514,125.6
prev_score_var,1227.896049150328,124.39999999999998
prev_score_max,20069.825280623387,122.6
inst_DAYS_LAST_LATE,859.3418991014362,120.66666666666666
REGION_POPULATION_RELATIVE,939.599800232053,120.2
Total_CREDIT,2519.863810631633,118.93333333333332
inst_sum_DBD_SCALE,2218.6013147388894,117.73333333333332
bureau_avg_DAYS_ENDDATE_FACT,867.1318024913471,114.93333333333335
AMT_ANNUITY_to_prev_approved,1776.8229312865683,112.0
prev_max_DAYS_LAST_DUE,1354.8278388353685,109.46666666666667
buro_score_max,6287.829257349733,105.93333333333332
AMT_ANNUITY_INCOME_RATE,1147.3147403820726,105.6
prev_max_DAYS_LAST_DUE_1ST_VERSION,1642.198658202092,104.06666666666668
month_score_sum,3210.1557369823254,103.33333333333334
bureau_active_sum_AMT_CREDIT_LEFT,1437.8455382719635,103.0
house_score_y,1456.8793076068164,100.46666666666667
Total_AMT_ANNUITY,1184.810712005198,100.46666666666667
OCCUPATION_TYPE_mean_encode,3573.130934983492,99.6
inst_sum_AMT_PAYMENT_SCALE,1875.2010618117638,98.2
prev_active_sum_AMT_PAY_YEAR_LEFT,1275.4436579356593,94.93333333333334
REGION_mean_encode,968.14582086727,93.13333333333333
bureau_active_avg_AMT_CREDIT_LEFT,832.5158527505895,92.73333333333333
inst_mean_DPD_SCALE,1996.623923002804,91.80000000000001
AMT_CREDIT_GOODS_PERC,3225.1176089594765,91.00000000000001
NEW_SCORES_STD,1297.582888758679,91.0
month_score_mean,4341.032378693173,90.53333333333333
bureau_recent_DAYS_CREDIT_ENDDATE,771.8394219191124,90.46666666666667
bureau_min_DAYS_CREDIT,722.1696837544442,89.93333333333332
inst_var_DBD,622.2238645290336,89.6
bureau_recent_AMT_DEBT_RATIO,1209.379207682361,88.66666666666667
buro_score_last,1680.0315634191036,87.33333333333333
inst_sum_DPD_SCALE,820.2328516266618,87.00000000000001
NEW_PHONE_TO_EMPLOYED_RATIO,702.3912816897966,86.46666666666667
bureau_active_avg_AMT_DEBT_RATIO,1100.4241945496758,85.8
buro_score_var,1764.89208278656,85.06666666666665
bureau_sum_AMT_CREDIT_SUM,686.5386865206062,83.53333333333333
bubl_score,936.3563769241175,81.93333333333332
bureau_avg_DAYS_END_DIFF,579.4507424473762,80.66666666666667
prev_max_DAYS_TERMINATION,833.02433845823,80.6
house_score_x,861.9314428910614,79.6
NEW_PHONE_TO_BIRTH_RATIO,695.5424238842601,79.06666666666668
bureau_active_AMT_DEBT_TOTAL_RATIO,811.7520472305516,78.33333333333334
region_mean_income_rel,539.5109939590095,76.13333333333334
bureau_active_sum_DAYS_CREDIT_UPDATE,582.7238194371264,74.4
bureau_active_sum_AMT_CREDIT_SUM,753.1830538059274,74.33333333333334
AMT_CREDIT_to_prev_approved,737.1068779895702,74.26666666666668
bureau_active_avg_DAYS_CREDIT_ENDDATE,510.98690022627505,74.0
prev_avg_DAYS_TOTAL,479.20468110690507,73.20000000000002
prev_score_recent2y_sum,704.7896678676209,73.13333333333334
AMT_CREDIT,1061.6295512075226,72.8
prev_avg_AMT_CREDIT,471.64376575350764,72.53333333333333
YEARS_BEGINEXPLUATATION_MODE,532.1752570526054,72.53333333333333
bureau_active_avg_DAYS_CREDIT_UPDATE,503.4407437105974,72.46666666666667
month_score_std,877.1450694816807,71.6
